country,company,industry,hq,east_africa_presence,expansion_signal,signal_year,investment_as_disclosed,investment_est_usd_million,facility_type,investment_score,recency_score,facility_type_score,infrastructure_synergy_score,opportunity_score,opportunity_tier,source_title,source_url,source_date
Kenya,Amazon Web Services (AWS),Technology,"Seattle, USA","Operates a Nairobi-based Development Centre - AWS's second in Africa after Cape Town - housing R&D, cloud support and software engineering teams.","Launched its second African Development Centre on Riverside Drive, Nairobi, October 5, 2023.",2023,Not disclosed,,R&D Centre,12,25,14,15,66,Medium,AWS Launches its second African Development Centre in Kenya,https://techtrendske.co.ke/2023/10/05/aws-launches-its-second-african-development-centre-in-kenya/,
Madagascar,Energy Fuels Inc.,Manufacturing,"Lakewood, Colorado, USA","Energy Fuels is advancing the Toliara Project in southwestern Madagascar, a titanium, zirconium and rare-earth mineral sands project.",Energy Fuels and the Government of Madagascar executed an MOU on 5 December 2024 to further advance the Toliara project toward a final investment decision.,2024,Multi-billion-dollar project potential; ~US$80 million committed to development/community/social funding,80.0,Manufacturing Plant,32,25,20,10,87,High,Energy Fuels and Madagascar Government Execute Memorandum of Understanding to Further Advance Toliara Critical Mineral Project in Madagascar,https://investors.energyfuels.com/2024-12-05-Energy-Fuels-and-Madagascar-Government-Execute-Memorandum-of-Understanding-to-Further-Advance-Toliara-Critical-Mineral-Project-in-Madagascar,2024-12-05
Madagascar,Orange Madagascar,Technology,"Antananarivo, Madagascar",Orange Madagascar is one of the country's leading mobile network operators.,Orange Madagascar renewed its comprehensive telecom license for ~€30 million (acquired December 2023) and is deploying 500 new 2G/3G sites via a 10-year partnership with NuRAN Wireless.,2023,€30 million (license renewal),32.4,Regional HQ / Network Infrastructure,32,25,12,10,79,High,Orange Madagascar boosts telecom network coverage with new license and investments,https://www.ecofinagency.com/telecom/2601-45164-orange-madagascar-boosts-telecom-network-coverage-with-new-license-and-investments,2024-01-26
Madagascar,Super U (with Habibo Group),Retail,France (Système U),Super U entered Madagascar's retail market by taking over Shoprite's 10-store supermarket network.,"Super U announced (reported September 2021) the takeover of Shoprite's 10 Madagascar stores, following Shoprite's exit from the market.",2021,Not disclosed,,Retail Store/Mall,12,14,8,10,44,Watch,Super U takes over 10 Shoprite stores in Madagascar,https://trendtype.com/news/super-u-takes-over-10-shoprite-stores-in-madagascar/,2021-09-19
Malawi,Bolloré Logistics Malawi,Logistics,"Paris, France",Bolloré Logistics Malawi is the Malawi unit of the pan-African Bolloré Logistics freight-forwarding network.,"Won and completed the logistics contract for Malawi's 60MW Golomoti Solar project, shipping 221 TEUs via the Port of Beira between March and December 2021.",2021,Not disclosed,,Distribution Center,12,14,14,10,50,Medium,Bolloré Logistics Malawi successfully completes logistics for the Golomoti Solar project,https://www.ecofinagency.com/public-management/2803-43488-bollore-logistics-malawi-successfully-completes-logistics-for-the-golomoti-solar-project,
Mauritius,Medine Group (Cascavelle Shopping Mall),Retail,"Bambous, Mauritius","Medine Group operates Cascavelle Shopping Mall in the island's western region, one of Mauritius's largest retail and leisure destinations.","Announced a Rs 2.6 billion extension of Cascavelle Mall that will triple its footprint, adding 19,500m² and 66 new retail outlets, reported 18 July 2024.",2024,Rs 2.6 billion (~US$57 million),57.0,Retail Store/Mall,32,25,8,10,75,High,Cascavelle Shopping Mall: Medine Group invests Rs 2.6 billion for extension,https://www.propertycloud.mu/blog/cascavelle-shopping-mall-medine-group-invests-rs-26-billion-for-extension,2024-07-18
Mauritius,Emtel Ltd,Technology,"Ebène, Mauritius",Emtel is Mauritius's first private mobile network operator.,Launched Mauritius's first live 5G network (60% population coverage at launch) on 31 July 2023 and announced a BSS modernisation partnership with Tecnotree.,2023,Not disclosed,,Regional HQ / Network Infrastructure,12,25,12,10,59,Medium,"Emtel Mauritius launches 5G, taps Tecnotree for digital transformation",https://developingtelecoms.com/telecom-technology/telecom-cloud-virtualization/15320-emtel-mauritius-selects-tecnotree-for-bss-transformation.html,2023-08-02
Mozambique,Eni S.p.A. (Coral Sul FLNG),Manufacturing,"Rome, Italy",Eni operates the Coral Sul floating LNG facility off Mozambique's Rovuma Basin — the country's first LNG production.,"Coral Sul FLNG has been producing LNG since 2022, and Eni's approved Coral Norte development (3.55 million tonnes/year, production expected H2 2028) was cited as of August 2026.",2022,Not disclosed,,Manufacturing Plant,12,20,20,10,62,Medium,Mozambique: Southern Africa's emerging industrial platform,https://www.cnbcafrica.com/2026/mozambique-southern-africas-emerging-industrial-platform,2026-08-14
Rwanda,ARISE Integrated Industrial Platforms (ARISE IIP),Construction,"Ebene, Mauritius (backed by Africa Finance Corporation)",Pan-African industrial-zone developer; co-developing Rwanda's Bugesera Special Economic Zone (BSEZ) through joint venture BSEZ Ltd with the Government of Rwanda.,"Bank of Kigali ($33M) and Development Bank of Rwanda ($19M) injected a combined $52 million into the 335-hectare Bugesera Industrial Park/SEZ (part of a $100M project launched in 2023, Phase 1 of 75 hectares already operational), targeting light manufacturing, agro-processing, pharma and logistics tenants; reported August 2025.",2023,$52 million (recent tranche); $100 million total project,52.0,Construction Project,32,25,16,15,88,High,"BK, BRD Inject $52M into Bugesera Industrial Park",https://www.ktpress.rw/2025/08/bk-brd-inject-52m-into-bugesera-industrial-park/,
Rwanda,RK Industries Ltd,Manufacturing,"Dar es Salaam, Tanzania (Indian-owned group)",Regional manufacturer expanding into Rwanda; opened Rwanda's first-ever toothpaste factory inside the Kigali Special Economic Zone.,"Inaugurated Rwanda's first toothpaste factory ('ProSmile' brand) in Kigali Special Economic Zone, November 22, 2024.",2024,$5 million,5.0,Manufacturing Plant,24,25,20,15,84,High,FEATURED: RK Industries opens Rwanda's first toothpaste factory,https://www.newtimes.co.rw/article/22073/news/featured/featured-rk-industries-opens-rwandas-first-toothpaste-factory,2024-11-24
Rwanda,Groupe Duval (Inzovu Mall / U Express),Retail,"Paris, France (Groupe Duval); U Express is a Systeme U (France) supermarket brand","Developing Kigali's largest shopping mall (Inzovu Mall, Kimihurura) and bringing the French U Express supermarket chain into Rwanda as anchor tenant, with plans for 10 stores nationwide over 5 years.","Construction of the $68-71M, 40,000 sqm Inzovu Mall began August 2023 (IFC and Proparco each providing $17.5M); first U Express store slated to open at the mall in early 2026, with completion/public opening late 2025.",2023,$68-71 million (Inzovu Mall project),69.5,Retail Store/Mall,32,25,8,15,80,High,"Inzovu Mall developer, French supermarket chain to open 10 stores in Rwanda",https://en.igihe.com/business-62/article/inzovu-mall-developer-french-supermarket-chain-to-open-10-stores-in-rwanda,
Rwanda,"AGL Rwanda (Africa Global Logistics, MSC Group)",Logistics,"Marseille, France (AGL, part of the MSC Group)","Operates 21,000 sqm of bonded/duty-free warehousing across six sites in Rwanda's Kigali Special Economic Zone, a major freight-forwarding and customs logistics operator.","Laid the foundation stone for a 5,000 sqm warehouse extension with cold-chain capability in the Kigali Special Economic Zone, April 15, 2024.",2024,$10 million,10.0,Distribution Center,24,25,14,15,78,High,AGL Rwanda lays the foundation stone for the extension of its logistics warehouse in Kigali,https://logistafrica.com/en/logistic/agl-rwanda-lays-the-foundation-stone-for-the-extension-of-its-logistics-warehouse-in-kigali/,2024-04-15
Rwanda,African Pharmaceutical Technology Foundation (APTF),Pharma,"Kigali, Rwanda (pan-African regional body, backed by African Development Fund)",Rwanda-headquartered foundation established with Rwanda's Ministry of Health to build regional pharmaceutical manufacturing capacity and collective medicine procurement for Africa.,"African Development Fund board approved $12M financing for APTF's rapid operationalization in Kigali; financing approved February 2024, project launched in Kigali May 2024.",2024,$12 million,12.0,R&D Centre,24,25,14,15,78,High,The $12M Regional Pharmaceutical Project Launched in Kigali,https://www.ktpress.rw/2024/05/the-12m-regional-pharmaceutical-project-launched-in-kigali/,
Rwanda,Africa Data Centres (Cassava Technologies),Technology,"Johannesburg, South Africa (Cassava Technologies, part of Econet Group)","Building its first data centre in Kigali as part of Cassava Technologies' $500 million plan to build 10 data centres across Africa, supporting Rwanda's digital transformation agenda.","Broke ground on a purpose-built 2MW data centre in Kigali, Q1 2023.",2023,Not disclosed,,Data Centre,12,25,20,15,72,High,"Africa Data Centres to build its first data centre in Kigali, Rwanda",https://www.africadatacentres.com/africa-data-centres-to-build-its-first-data-centre-in-kigali-rwanda/,
Seychelles,Thai Union Group (Indian Ocean Tuna Ltd),Manufacturing,"Bangkok, Thailand","Thai Union owns a majority (60%) stake in Indian Ocean Tuna Ltd, which operates one of the world's largest tuna canneries in Victoria, Seychelles.","Thai Union announced a further EUR 10 million investment into the Seychelles cannery (on top of a prior EUR 40 million upgrade), announced late April/early May 2022.",2022,EUR 10 million additional (approx. USD 10.2 million),10.8,Manufacturing Plant,24,20,20,5,69,Medium,Thai Union to invest another €10m in Seychelles tuna plant,https://www.undercurrentnews.com/2022/05/04/thai-union-to-invest-another-e10m-in-seychelles-tuna-plant/,2022-05-04
Seychelles,Cable & Wireless Seychelles,Technology,"Victoria, Seychelles",Cable & Wireless Seychelles is one of the country's two main telecom/ISP operators.,"Inaugurated the 'Bon Espoir' Data Centre, Seychelles' first Tier IV data centre, unveiled 22 November 2024.",2024,Not disclosed,,Data Centre,12,25,20,5,62,Medium,Cable & Wireless inaugurates state-of-the-art data centre,https://www.nation.sc/articles/24190/cable--wireless-inaugurates-state-of-the-art-data-centre,2024-11-22
Somalia,IFFCO Somaliland,Manufacturing,"Sharjah/Dubai, United Arab Emirates","IFFCO, a Gulf-based FMCG/edible-oils conglomerate, entered Somaliland by signing a 25-year lease to build a large edible-oil packing plant inside DP World's Berbera Economic Zone.","IFFCO announced construction of a 300,000 sq ft edible oil packing plant at the Berbera Economic Zone, announced 8 November 2022.",2022,Not disclosed,,Manufacturing Plant,12,20,20,10,62,Medium,"IFFCO to develop 300,000 square feet edible oil packing plant at DP World's Berbera Economic Zone, Somaliland",https://www.dpworld.com/news/releases/iffco-develops-edible-oil-packing-plant-at-dp-worlds-economic-zone-somaliland/,2022-11-08
Somalia,Hayat Market (Safa International Group),Retail,"Mogadishu, Somalia",Hayat Market is a modern supermarket chain in Mogadishu operated by UAE-based Safa International Group.,"Since opening its first branch in April 2020, Hayat Market expanded to at least five branches across Mogadishu districts by 2025, named Best Supermarket Chain of the Year at the 2024 East Africa Somali Awards.",2020,Not disclosed,,Retail Store/Mall,12,8,8,10,38,Watch,Hayat Market,https://en.wikipedia.org/wiki/Hayat_Market,
South Sudan,Trinity Energy Group,Manufacturing,"Juba, South Sudan","Trinity Energy is a leading indigenous South Sudanese energy company operating fuel import, storage and distribution infrastructure.","Advancing a planned USD 500 million, initially 60,000 bpd domestic oil refinery at Paloch, Upper Nile State; as of July 2024 had completed feasibility studies and secured land/concession.",2024,USD 500 million (announced project cost),,Manufacturing Plant,12,25,20,10,67,Medium,South Sudan's Trinity Energy eyes domestic refinery despite local industry woes,https://african.business/2024/07/resources/south-sudans-trinity-energy-eyes-domestic-refinery-despite-local-industry-woes,2024-07-10
South Sudan,Shandong Hi-Speed Group (SDHS),Construction,"Jinan, Shandong, China",Shandong Hi-Speed Group is a Chinese state-owned infrastructure conglomerate contracted for major South Sudanese highway construction.,"Signed/renewed a contract (announced 3 December 2020) to build the 392 km Juba-Rumbek highway, including 10 bridges, 35 box culverts and 21 viaducts.",2020,Not disclosed,,Construction Project,12,8,16,10,46,Watch,"South Sudan, Chinese firm renew contract for road construction",https://pachodo.org/news-from-various-sources/26220-south-sudan-chinese-firm-renew-contract-for-road-construction,2020-12-03
Tanzania,Amsons Group,Manufacturing,"Dar es Salaam, Tanzania","Tanzania-founded (2000) conglomerate with cement, construction, transport, flour and container-depot interests; expanding aggressively into Kenya (Bamburi Cement acquisition) and Zambia.","Announced $320 million greenfield cement plant investment in Tanzania (1.6Mt/yr capacity), adding to its existing Camel Cement grinding plant and 65% stake in Mbeya Cement, November 2024.",2024,$320 million,320.0,Manufacturing Plant,40,25,20,15,100,High,Amsons Group takes aim at East Africa,https://www.globalcement.com/news/analysis/18696-amsons-group-takes-aim-at-east-africa,
Tanzania,DP World,Logistics,"Dubai, United Arab Emirates","Global port and logistics operator now managing key multi-purpose terminals at the Port of Dar es Salaam under a long-term concession, positioning Tanzania as a regional trade gateway for landlocked neighbours.","Signed a 30-year concession with Tanzania Ports Authority to operate multi-purpose terminals at Dar es Salaam Port, with an initial investment exceeding $250M (potentially up to $1B across the concession, including hinterland logistics and a possible SEZ), October 22, 2023.",2023,$250 million initial (up to $1 billion potential over 30-year term),250.0,Distribution Center,40,25,14,15,94,High,DP World Signs 30-Year Concession to Operate Multi-Purpose Dar es Salaam Port in Tanzania,https://www.dpworld.com/en/news/dp-world-signs-30-year-concession-to-operate-multi-purpose-dar-es-salaam-port-in-tanzania,
Uganda,China Communications Construction Company (CCCC),Construction,"Beijing, China","Belt and Road-financed contractor executing Uganda's flagship Entebbe International Airport modernisation, alongside other Ugandan road and infrastructure contracts.","Completed a new cargo terminal (doubling capacity to 100,000 tonnes/year) at Entebbe International Airport as part of a broader US$200 million airport modernisation programme (passenger terminal/runway work continuing into 2024).",2024,US$200 million (full modernisation programme),200.0,Construction Project,40,25,16,15,96,High,China Communications delivers trade-boosting cargo terminal in Uganda,https://www.globalconstructionreview.com/china-communications-delivers-trade-boosting-cargo-terminal-in-uganda/,
Uganda,Yapi Merkezi Insaat,Construction,"Istanbul, Turkey","Contracted by the Ugandan government as main contractor for the Malaba-Kampala Standard Gauge Railway, its flagship Uganda infrastructure project.","President Museveni launched construction of the 273km Malaba-Kampala Standard Gauge Railway (via Tororo, Jinja, Mukono etc.), expected complete within 48 months; groundbreaking November 21, 2024.",2024,Project valued at ~UGX 10.8 trillion (~US$3 billion) per Ugandan government reporting,3000.0,Construction Project,40,25,16,15,96,High,President Museveni Launches Construction Of Malaba-Kampala Standard Gauge Railway,https://statehouse.go.ug/president-museveni-launches-construction-of-malaba-kampala-standard-gauge-railway/,
Uganda,MTN Uganda,Technology,"Johannesburg, South Africa (MTN Group)","Uganda's largest mobile network operator, part of the pan-African MTN Group footprint covering the wider East African region.","Launched Uganda's first 5G network and industrial 5G use case, backed by a UGX 95.4 billion (~US$25.4 million) investment via its five-year Huawei modernisation partnership; live from early-to-May 2023.",2023,UGX 95.4 billion (~US$25.4 million),25.4,Regional HQ / Network Infrastructure,32,25,12,15,84,High,"MTN Uganda launches first 5G network, pioneering high-speed connectivity in the country",https://www.techloy.com/mtn-launches-first-5g-network-in-uganda/,
Uganda,Vivo Energy Uganda (Shell-branded fuels/retail),Retail,"London, UK / Amsterdam (Vitol-Helios joint venture)",Operates the Shell-branded fuel retail network across Uganda alongside operations in over a dozen African markets.,"Commissioned 10 new Shell service stations (incl. Kitetika, Kitemu, Masanafu), bringing its Uganda network to 191 sites, and unveiled Shell's refreshed brand identity with MTN-partnered CCTV across all stations, November 2024.",2024,Not disclosed,,Retail Store/Mall,12,25,8,15,60,Medium,"Vivo Energy Expands Network With 10 New Service Stations, Unveils The New Look For Shell In Uganda",https://businessfocus.co.ug/vivo-energy-expands-network-with-10-new-service-stations-unveils-the-new-look-for-shell-in-uganda/,
Zambia,Dangote Cement Zambia,Construction,"Lagos, Nigeria",Operates the $450M Masaita cement plant near Ndola (1.5 Mt/yr capacity).,Announced on 24 June 2024 it would double its Zambia investment to roughly $900M by building a second cement plant.,2024,"$900 million (combined, doubled from initial $450M)",900.0,Manufacturing Plant,40,25,20,10,95,High,Dangote ramps up investment in Zambia with second plant,https://www.cemnet.com/News/story/177232/dangote-ramps-up-investment-in-zambia-with-second-plant.html,2024-06-24
Zambia,Real Estate Investments Zambia Plc (REIZ),Retail,"Lusaka, Zambia",Zambian-listed property company that owns and operates retail malls in Lusaka.,"Completed a US$65 million acquisition of three Lusaka shopping malls (Acacia Park, Jacaranda Mall, Lewanika Mall) in November 2023.",2023,$65 million,65.0,Retail Store/Mall,32,25,8,10,75,High,REIZ Plc completes US$65mn acquisition of Zambia malls,https://www.capitalmarketsafrica.net/p/reiz-plc-usd65mn-acquisition-zambia-malls,
Zambia,Africa Global Logistics (AGL),Logistics,"Marseille, France","Newly launched in-country Zambia operations offering freight forwarding, warehousing, transportation, customs brokerage and supply-chain management.",Formally launched/rebranded its Zambia operations on 27 March 2024.,2024,Not disclosed,,Distribution Center,12,25,14,10,61,Medium,"Africa Global Logistics has announced its launch in Zambia, which is set to transform the transport and logistics landscape in the region",https://zambiatransportandlogistics.com/2024/03/27/africa-global-logistics-has-announced-its-launch-in-zambia-which-is-set-to-transform-the-transport-and-logistics-landscape-in-the-region/,2024-03-27
Zimbabwe,West Property Group (with McCormick Property Development Group),Construction,"Harare, Zimbabwe",Zimbabwean property developer behind the Millennium City and Pokugara developments in Harare.,"Announced on 29 August 2024 a $100M 'Mall of Zimbabwe' project in Borrowdale, Harare, planned as the country's largest mall.",2024,$100 million,100.0,Construction Project,40,25,16,10,91,High,"Construction of exquisite Mall of Zimbabwe to start Q2,2025",https://businesstimes.co.zw/construction-of-exquisite-mall-of-zimbabwe-to-start-q22025/,2024-08-29
Zimbabwe,Simbisa Brands Limited,Retail,"Harare, Zimbabwe","Zimbabwe-founded, ZSE-listed QSR operator (Chicken Inn, Pizza Inn, Creamy Inn) with its largest single-country network (332 outlets) in Zimbabwe.",On 5 December 2024 announced plans to open 31 new outlets and refurbish 44 stores by fiscal year-end 2025.,2024,Not disclosed,,Retail Store/Mall,12,25,8,10,55,Medium,"Simbisa Brands to add 31 stores, exceeding 750 by fiscal year-end 2025",https://www.billionaires.africa/2024/12/05/simbisa-brands-to-add-31-stores-exceeding-750-by-fiscal-year-end-2025/,2024-12-05
